2000-01 BAP Ultimate Memorabilia Game-Used Jerseys #GJ28 Joe Sakic,0,1,0,0,39.5
2000-01 Black Diamond Game Gear #GSA Joe Sakic Glove Upd,0,1,0,0,27
2000-01 Crown Royale Game-Worn Jersey Redemptions #3 Joe Sakic/475,0,1,0,1,8.34
2000-01 Crown Royale Limited Series #31 Joe Sakic,0,0,0,1,30
2000-01 Crown Royale Premiere Date #31 Joe Sakic,0,0,0,1,15
2000-01 Pacific Copper #121 Joe Sakic,0,0,0,1,17.5
2000-01 Pacific Jerseys #4 Joe Sakic,0,1,0,0,8.4
2000-01 Paramount HoloSilver #63 Joe Sakic,0,0,0,1,20.625
2000-01 Paramount Ice Blue #63 Joe Sakic,0,0,0,1,20
2000-01 Paramount Premiere Date #63 Joe Sakic,0,0,0,1,35
2000-01 Private Stock Game Gear #29 Joe Sakic J/S,0,1,0,0,36
2000-01 Private Stock Game Gear #30 Joe Sakic J,0,1,0,0,23.125
2000-01 Private Stock Gold #26 Joe Sakic,0,0,0,1,10
2000-01 Private Stock PS-2001 Stars #8 Joe Sakic,0,0,0,1,12.5
2000-01 Private Stock Premiere Date #26 Joe Sakic,0,0,0,1,22.5
2000-01 Revolution Blue #39 Joe Sakic,0,0,0,1,22.5
2000-01 Revolution Red #39 Joe Sakic,0,0,0,1,23.75
2000-01 Revolution Stat Masters #24 Joe Sakic/299,0,0,0,1,5
2000-01 SP Game Used Tools of the Game #JS Joe Sakic,0,1,0,0,9
2000-01 SP Game Used Tools of the Game Exclusives #JS Joe Sakic,0,1,0,1,27
2000-01 Stadium Club Souvenirs #SCS2 Joe Sakic,0,1,0,0,27
2000-01 Titanium All-Stars #5NA Joe Sakic,0,0,0,1,4.2
2000-01 Titanium Draft Day Edition #26 Joe Sakic/535,0,1,0,1,10
2000-01 Titanium Game Gear #9 Joe Sakic/224,0,1,0,1,15
2000-01 Titanium Gold #23 Joe Sakic,0,0,0,1,18.6
2000-01 Titanium Premiere Date #23 Joe Sakic,0,0,0,1,10.5
2000-01 Titanium Red #23 Joe Sakic,0,0,0,1,11.435
2000-01 Titanium Three-Star Selections #12 Joe Sakic,0,0,0,1,2.8
2000-01 Upper Deck Ice Game Jerseys #ISA Joe Sakic Upd,0,1,0,0,18.75
2000-01 Upper Deck Legends Legendary Game Jerseys #JJS Joe Sakic,0,1,0,0,18
2000-01 Vanguard Dual Game-Worn Jerseys #3 Joe Sakic/Eric Lindros/250,0,1,0,1,13.5
2000-01 Vanguard High Voltage Red #9 Joe Sakic,0,0,0,1,2.1
2000-01 Vanguard Holographic Purple #30 Joe Sakic,0,0,0,1,10.8
2001-02 BAP Memorabilia All-Star Teammates #AST41 Joe Sakic/Mike Modano,0,1,0,0,36
2001-02 BAP Memorabilia Stanley Cup Playoffs #SC9 Joe Sakic/95,0,1,0,1,20
2001-02 Pacific Adrenaline Blade Runners #3 Joe Sakic,0,0,0,1,36
2001-02 Pacific Adrenaline Jerseys #10 Joe Sakic,0,1,0,0,9.9
2001-02 Pacific Heads Up Quad Jerseys #8 Peter Forsberg/Joe Sakic/Aaron Miller/Dave Reid,0,1,0,0,12.775
2001-02 Pacific Heads Up Rink Immortals #3 Joe Sakic,0,0,0,1,15
2001-02 Parkhurst Sticks #PS15 Joe Sakic,0,1,0,1,36
2001-02 SP Authentic #94 Joe Sakic ATG,0,0,0,1,3.57
2001-02 SP Authentic Jerseys #NNJS Joe Sakic/1178,0,1,0,1,15.625
2001-02 Titanium Double-Sided Jerseys #12 Joe Sakic/Alex Tanguay,0,1,0,0,6.95
2001-02 Titanium Double-Sided Patches #12 Joe Sakic/Alex Tanguay/259,0,1,0,1,11.25
2001-02 UD Challenge for the Cup Jerseys #TNJS Joe Sakic Dual,0,1,0,0,16.525
2002-03 BAP Signature Series Autograph Buybacks 2001 #LJS Joe Sakic,0,0,1,0,65
2002-03 BAP Signature Series Franchise Players #FJ9 Joe Sakic,0,1,0,0,24
2002-03 BAP Signature Series Triple Memorabilia #TM10 Joe Sakic,0,1,0,0,72
2002-03 Pacific Calder Silver #35 Joe Sakic,0,0,0,1,5.4
2002-03 Pacific Jerseys #11 Joe Sakic,0,1,0,0,15
2002-03 Parkhurst Patented Power Jerseys #PP5 Joe Sakic/Mike Modano,0,1,0,0,29.75
2002-03 Parkhurst Retro Franchise Players #RF9 Joe Sakic,0,1,0,0,19.6
