2005-06 Artifacts Autofacts Copper #AFBM Bryan McCabe ,"McCabe, Bryan",Toronto Maple Leafs,0,2005,75,0,0,0,0,0,1,1,7.2
2005-06 Artifacts Autofacts Copper #AFCP Chris Pronger ,"Pronger, Chris",Edmonton Oilers,0,2005,75,0,0,0,0,0,1,1,18
2005-06 Artifacts Autofacts Copper #AFJB Jay Bouwmeester ,"Bouwmeester, Jay",Florida Panthers,0,2005,75,0,0,0,0,0,1,1,5.88
2005-06 Artifacts Autofacts Copper #AFMP Mark Popovic ,"Popovic, Mark",Anaheim Ducks,0,2005,75,0,0,0,0,0,1,1,5.88
2005-06 Artifacts Autofacts Copper #AFSS Steve Sullivan ,"Sullivan, Steve",Nashville Predators,0,2005,75,0,0,0,0,0,1,1,3.6
2005-06 Artifacts Autofacts Silver #AFBB Brad Boyes 19/50,"Boyes, Brad",Boston Bruins,0,2005,50,0,0,0,0,0,1,1,10.5
2005-06 Artifacts Autofacts Silver #AFHE Milan Hejduk ,"Hejduk, Milan",Colorado Avalanche,0,2005,50,0,0,0,0,0,1,1,9
2005-06 Artifacts Blue #10 Sergei Samsonov ,"Samsonov, Sergei",Boston Bruins,0,2005,75,0,0,0,0,0,0,1,4.5
2005-06 Artifacts Blue #22 Eric Daze ,"Daze, Eric",Chicago Blackhawks,0,2005,75,0,0,0,0,0,0,1,4.5
2005-06 Artifacts Blue #27 Milan Hejduk ,"Hejduk, Milan",Colorado Avalanche,0,2005,75,0,0,0,0,0,0,1,1.5
2005-06 Artifacts #105 Johnny Bower AL ,"Bower, Johnny",Toronto Maple Leafs,0,2005,899,0,0,0,0,0,0,1,3
2005-06 Artifacts #108 Wayne Cashman AL ,"Cashman, Wayne",Boston Bruins,0,2005,899,0,0,0,0,0,0,1,1.12
2005-06 Artifacts #116 Tony Esposito AL ,"Esposito, Tony",Chicago Blackhawks,0,2005,899,0,0,0,0,0,0,1,3
2005-06 Artifacts #126 Jari Kurri AL ,"Kurri, Jari",Edmonton Oilers,0,2005,899,0,0,0,0,0,0,1,3
2005-06 Artifacts #129 Reggie Leach AL ,"Leach, Reggie",Philadelphia Flyers,0,2005,899,0,0,0,0,0,0,1,0.58
2005-06 Artifacts #167 Steve Yzerman AS ,"Yzerman, Steve",Detroit Red Wings,0,2005,899,0,0,0,0,0,0,1,5.1
2005-06 Artifacts #195 Ed Belfour AS ,"Belfour, Ed",Toronto Maple Leafs,0,2005,899,0,0,0,0,0,0,1,1.88
2005-06 Artifacts #204 Thomas Vanek RC ,"Vanek, Thomas",Buffalo Sabres,0,2005,750,0,0,0,1,0,0,1,15
2005-06 Artifacts #210 Jussi Jokinen RC ,"Jokinen, Jussi",Dallas Stars,0,2005,750,0,0,0,1,0,0,1,8
2005-06 Artifacts #215 Matt Foy RC ,"Foy, Matt",Minnesota Wild,0,2005,750,0,0,0,1,0,0,1,2.45
2005-06 Artifacts #219 Henrik Lundqvist RC /750,"Lundqvist, Henrik",New York Rangers,0,2005,750,0,0,0,1,0,0,1,18.75
2005-06 Artifacts #225 Ryane Clowe RC ,"Clowe, Ryane",San Jose Sharks,0,2005,750,0,0,0,1,0,0,1,10
2005-06 Artifacts #237 Petteri Nokelainen RC ,"Nokelainen, Petteri",New York Islanders,0,2005,750,0,0,0,1,0,0,1,6
2005-06 Artifacts #248 Milan Jurcina RC ,"Jurcina, Milan",Boston Bruins,0,2005,750,0,0,0,1,0,0,1,7.2
2005-06 Artifacts #257 Chad Larose RC ,"Larose, Chad",Carolina Hurricanes,0,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts #261 Martin St. Pierre RC ,"St. Pierre, Martin",Chicago Blackhawks,0,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts #263 James Wisniewski RC ,"Wisniewski, James",Chicago Blackhawks,0,2005,750,0,0,0,1,0,0,1,6
2005-06 Artifacts #274 Kyle Quincey RC ,"Quincey, Kyle",Detroit Red Wings,0,2005,750,0,0,0,1,0,0,1,6
2005-06 Artifacts #278 J-F Jacques RC ,"Jacques, Jean-Francois",Edmonton Oilers,0,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts #298 Jason Ryznar RC ,"Ryznar, Jason",New Jersey Devils,0,2005,750,0,0,0,1,0,0,1,6
2005-06 Artifacts #307 R.J. Umberger RC ,"Umberger, R.J.",Philadelphia Flyers,0,2005,750,0,0,0,1,0,0,1,6
2005-06 Artifacts #312 Matt Jones RC ,"Jones, Matt",Phoenix Coyotes,0,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts #314 Erik Christensen RC ,"Christensen, Erik",Pittsburgh Penguins,0,2005,750,0,0,0,1,0,0,1,6
2005-06 Artifacts #329 Nick Tarnasky RC ,"Tarnasky, Nick",Tampa Bay Lightning,0,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts #333 Andrew Wozniewski RC ,"Wozniewski, Andy",Toronto Maple Leafs,0,2005,750,0,0,0,1,0,0,1,7.2
2005-06 Artifacts Autofacts #AFBI Martin Biron ,"Biron, Martin",Buffalo Sabres,0,2005,100,0,0,0,0,0,1,1,13.5
2005-06 Artifacts Autofacts #AFHO Marcel Hossa ,"Hossa, Marcel",Montreal Canadiens,0,2005,100,0,0,0,0,0,1,1,10
2005-06 Artifacts Autofacts #AFJL Joffrey Lupul 98/100,"Lupul, Joffrey",Anaheim Ducks,0,2005,100,0,0,0,0,0,1,1,10.5
2005-06 Artifacts Autofacts #AFMO Brendan Morrison - Autograph Card Serial #013/100,"Morrison, Brendan",Vancouver Canucks,0,2005,100,0,0,0,0,0,1,1,7.95
2005-06 Artifacts Autofacts #AFSW Stephen Weiss ,"Weiss, Stephen",Florida Panthers,0,2005,100,0,0,0,0,0,1,1,6
2005-06 Artifacts Autofacts #AFTS Tony Salmelainen - Autograph Card Serial #013/100,"Salmelainen, Tony",Edmonton Oilers,0,2005,100,0,0,0,0,0,1,1,7.95
2005-06 Artifacts Autofacts Copper #AFBR Brad Richards ,"Richards, Brad",Tampa Bay Lightning,0,2005,75,0,0,0,0,0,1,1,18
2005-06 Artifacts Autofacts Copper #AFGL Georges Laraque ,"Laraque, Georges",Edmonton Oilers,0,2005,75,0,0,0,0,0,1,1,12
2005-06 Artifacts Autofacts Copper #AFKD Kris Draper ,"Draper, Kris",Detroit Red Wings,0,2005,75,0,0,0,0,0,1,1,3.6
2005-06 Artifacts Autofacts Copper #AFRS Ryan Smyth ,"Smyth, Ryan",Edmonton Oilers,0,2005,75,0,0,0,0,0,1,1,15
2005-06 Artifacts Autofacts Copper #AFTH Trent Hunter @WHS #d/75,"Hunter, Trent",New York Islanders,0,2005,75,0,0,0,0,0,1,1,6.6
