1997-98 Pinnacle Totally Certified Platinum Red #89 Sandis Ozolinsh,Sandis Ozolinsh,Colorado Avalanche,0,0,0,1,1.3
1997-98 Pinnacle Totally Certified Platinum Red #112 Adam Deadmarsh,Adam Deadmarsh,Colorado Avalanche,0,0,0,1,1.3
1997-98 Pinnacle Totally Certified Platinum Red #129 Claude Lemieux,Claude Lemieux,Colorado Avalanche,0,0,0,1,1.3
1997-98 SP Authentic #178 Eric Messier RC,Eric Messier,Colorado Avalanche,1,0,0,0,0.625
1997-98 Studio Hard Hats #16 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,16.44
1997-98 Studio Hard Hats #17 Joe Sakic,Joe Sakic,Colorado Avalanche,0,0,0,1,9.675
1997-98 Studio Silhouettes #12 Joe Sakic,Joe Sakic,Colorado Avalanche,0,0,0,1,14.25
1997-98 Studio Silhouettes 8x10 #3 Patrick Roy,Patrick Roy,Colorado Avalanche,0,0,0,1,9.9
1997-98 Upper Deck #45 Eric Messier RC,Eric Messier,Colorado Avalanche,1,0,0,0,0.5
1997-98 Upper Deck #186 Wade Belak RC,Wade Belak,Colorado Avalanche,1,0,0,0,0.5
1997-98 Upper Deck #257 Christian Matte RC,Christian Matte,Colorado Avalanche,1,0,0,0,0.5
1997-98 Upper Deck Sixth Sense Masters #SS19 Joe Sakic,Joe Sakic,Colorado Avalanche,0,0,0,1,11.25
1997-98 Upper Deck Sixth Sense Masters #SS21 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,10.35
1998-99 Be A Player #187 Milan Hejduk RC,Milan Hejduk,Colorado Avalanche,1,0,0,0,0.875
1998-99 Be A Player Autographs #33 Adam Foote,Adam Foote,Colorado Avalanche,0,0,1,0,4.44
1998-99 Be A Player Autographs #36 Adam Deadmarsh,Adam Deadmarsh,Colorado Avalanche,0,0,1,0,5
1998-99 Be A Player Autographs #38 Eric Lacroix,Eric Lacroix,Colorado Avalanche,0,0,1,0,4.14
1998-99 Be A Player Autographs #185 Craig Billington,Craig Billington,Colorado Avalanche,0,0,1,0,4.5
1998-99 Be A Player Autographs #186 Valeri Kamensky,Valeri Kamensky,Colorado Avalanche,0,0,1,0,4.35
1998-99 Be A Player Autographs #187 Milan Hejduk,Milan Hejduk,Colorado Avalanche,0,0,1,0,12.675
1998-99 Be A Player Autographs #188 Sandis Ozolinsh,Sandis Ozolinsh,Colorado Avalanche,0,0,1,0,3.15
1998-99 Be A Player Autographs Gold #38 Eric Lacroix,Eric Lacroix,Colorado Avalanche,0,0,1,0,10.8
1998-99 Be A Player Autographs Gold #185 Craig Billington,Craig Billington,Colorado Avalanche,0,0,1,0,7.95
1998-99 Be A Player Autographs Gold #186 Valeri Kamensky,Valeri Kamensky,Colorado Avalanche,0,0,1,0,6
1998-99 Be A Player Autographs Gold #187 Milan Hejduk,Milan Hejduk,Colorado Avalanche,0,0,1,0,22.875
1998-99 Black Diamond Double Diamond #21 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,6.575
1998-99 Black Diamond Double Diamond #24 Chris Drury,Chris Drury,Colorado Avalanche,0,0,0,1,2.375
1998-99 Black Diamond Myriad #M11 Chris Drury,Chris Drury,Colorado Avalanche,0,0,0,1,5
1998-99 Black Diamond Myriad #M13 Joe Sakic,Joe Sakic,Colorado Avalanche,0,0,0,1,10.8
1998-99 Black Diamond Triple Diamond #24 Chris Drury,Chris Drury,Colorado Avalanche,0,0,0,1,3.6
1998-99 Black Diamond Winning Formula Gold #WF6 Patrick Roy/1550,Patrick Roy,Colorado Avalanche,0,0,0,1,28
1998-99 Black Diamond Winning Formula Gold #WF7 Peter Forsberg/1250,Peter Forsberg,Colorado Avalanche,0,0,0,1,14.88
1998-99 Black Diamond Winning Formula Gold #WF16 Chris Drury/1400,Chris Drury,Colorado Avalanche,0,0,0,1,4.2
1998-99 Bowmans Best #110 Milan Hejduk SP RC,Milan Hejduk,Colorado Avalanche,1,0,0,0,2.99
1998-99 Bowmans Best #128 Pascal Trepanier SP RC,Pascal Trepanier,Colorado Avalanche,1,0,0,0,1.085
1998-99 Bowmans Best #141 Ramzi Abid SP RC,Ramzi Abid,Colorado Avalanche,1,0,0,0,1.085
1998-99 Bowmans Best Atomic Refractors #12 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,109
1998-99 Bowmans Best Atomic Refractors #141 Ramzi Abid,Ramzi Abid,Colorado Avalanche,0,0,0,1,72
1998-99 Bowmans Best Performers Refractors #BP7 Chris Drury,Chris Drury,Colorado Avalanche,0,0,0,1,36
1998-99 Bowmans Best Scotty Bowmans Best Refractors #SB8 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,25.5
1998-99 Crown Royale #34 Milan Hejduk RC,Milan Hejduk,Colorado Avalanche,1,0,0,0,1
1998-99 Crown Royale Living Legends #4 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,7
1998-99 Finest Centurion #C7 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,7
1998-99 O-Pee-Chee Chrome #221 Ramzi Abid RC,Ramzi Abid,Colorado Avalanche,1,0,0,0,0.765
1998-99 Pacific Dynagon Ice #48 Milan Hejduk RC,Milan Hejduk,Colorado Avalanche,1,0,0,0,0.55
1998-99 Pacific Dynagon Ice Adrenaline Rush Bronze #4 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,5
1998-99 Pacific Dynagon Ice Adrenaline Rush Bronze #6 Joe Sakic,Joe Sakic,Colorado Avalanche,0,0,0,1,5
1998-99 Pacific Dynagon Ice Adrenaline Rush Red #4 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,10
1998-99 Pacific Dynagon Ice Adrenaline Rush Red #6 Joe Sakic,Joe Sakic,Colorado Avalanche,0,0,0,1,10
1998-99 Pacific Dynagon Ice Adrenaline Rush Silver #4 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,6
1998-99 Pacific Dynagon Ice Adrenaline Rush Silver #6 Joe Sakic,Joe Sakic,Colorado Avalanche,0,0,0,1,6
1998-99 Pacific Omega #66 Wade Belak RC/Scott Parker,"Wade Belak, Scott Parker",Colorado Avalanche,1,0,0,0,0.5
1998-99 Pacific Omega #67 Chris Drury RC/Milan Hejduk,"Chris Drury, Milan Hejduk",Colorado Avalanche,1,0,0,0,0.55
1998-99 Pacific Titanium Ice #5 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,8.25
1998-99 Paramount HoloElectric #52 Craig Billington,Craig Billington,Colorado Avalanche,0,0,0,1,3.5
1998-99 Paramount HoloElectric #53 Adam Deadmarsh,Adam Deadmarsh,Colorado Avalanche,0,0,0,1,2.5
1998-99 Paramount HoloElectric #54 Adam Foote,Adam Foote,Colorado Avalanche,0,0,0,1,2.5
