Title,Name,Team,Name Trend,Team Trend,Year,Print Run,Patch,Jsy,Sticker,Rookie,Memorbilia,Autographed,Serial Number,Cost
2005-06 Artifacts #267 Ole-Kristian Tollefsen RC - Serial #'d/750, Ole-Kristian Tollefsen,Columbus Blue Jackets,0,605,2005,750,0,0,0,1,0,0,1,4.44
2005-06 Artifacts #276 Danny Syvret RC , Danny Syvret,Edmonton Oilers,0,2477,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts #286 Richard Petiot RC , Richard Petiot,Los Angeles Kings,0,2501,2005,750,0,0,0,1,0,0,1,6
2005-06 Artifacts #299 Jeremy Colliton RC , Jeremy Colliton,New York Islanders,897,1697,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts #309 Ben Eager RC - Serial #'d/750, Ben Eager,Philadelphia Flyers,1269,1906,2005,750,0,0,0,1,0,0,1,4.46
2005-06 Artifacts #313 Maxime Talbot RC - Serial #'d/750, Maxime (Max) Talbot,Pittsburgh Penguins,0,1838,2005,750,0,0,0,1,0,0,1,6.36
2005-06 Artifacts #323 Jeff Hoggan RC , Jeff Hoggan,St. Louis Blues,195,777,2005,750,0,0,0,1,0,0,1,6
2005-06 Artifacts #330 Paul Ranger RC , Paul Ranger,Tampa Bay Lightning,953,674,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts Autofacts #AFAF Alexander Frolov - Autograph Card Serial #056/100, Alexander Frolov,Los Angeles Kings,1137,2501,2005,100,0,0,0,0,0,1,1,11.85
2005-06 Artifacts Autofacts #AFGL Georges Laraque @WHS #d/100, Georges Laraque,Edmonton Oilers,1372,2477,2005,100,0,0,0,0,0,1,1,5.5
2005-06 Artifacts Autofacts #AFIK Ilya Kovalchuk , Ilya Kovalchuk,Atlanta Thrashers,993,1964,2005,100,0,0,0,0,0,1,1,62.5
2005-06 Artifacts Autofacts #AFJW Justin Williams , Justin Williams,Carolina Hurricanes,312,796,2005,100,0,0,0,0,0,1,1,3.22
2005-06 Artifacts Autofacts #AFSG Simon Gagne , Simon Gagne,Philadelphia Flyers,1954,1906,2005,100,0,0,0,0,0,1,1,10
2005-06 Artifacts Autofacts #AFTC Ty Conklin , Ty Conklin,Edmonton Oilers,1063,2477,2005,100,0,0,0,0,0,1,1,3.22
2005-06 Artifacts Autofacts Copper #AFBM Bryan McCabe , Bryan McCabe,Toronto Maple Leafs,471,1127,2005,75,0,0,0,0,0,1,1,7.2
2005-06 Artifacts Autofacts Copper #AFCP Chris Pronger , Chris Pronger,Edmonton Oilers,1223,2477,2005,75,0,0,0,0,0,1,1,18
2005-06 Artifacts Autofacts Copper #AFJB Jay Bouwmeester , Jay Bouwmeester,Florida Panthers,381,2613,2005,75,0,0,0,0,0,1,1,5.88
2005-06 Artifacts Autofacts Copper #AFMP Mark Popovic , Mark Popovic,Anaheim Ducks,0,2544,2005,75,0,0,0,0,0,1,1,5.88
2005-06 Artifacts Autofacts Copper #AFSS Steve Sullivan , Steve Sullivan,Nashville Predators,2117,1131,2005,75,0,0,0,0,0,1,1,3.6
